1.974239538833699736e-02,2.686862152583975760e+00
4.412990889906837078e-02,4.474687104378286762e+00
6.101188944361518596e-02,5.666635897266415256e+00
8.163312573987335785e-02,6.788967021646841182e+00
1.022517885634875168e-01,7.841287527368075772e+00
1.500321684080497542e-01,9.806594964257268288e+00
2.015479437953574260e-01,1.159726880464997123e+01
2.549230531679447243e-01,1.307309133615203045e+01
3.036144423284778959e-01,1.437339613331671551e+01
3.569792578104894476e-01,1.556917619018198273e+01
4.065970971228575204e-01,1.662454205957735098e+01
4.571478202686704018e-01,1.760999554785139409e+01
5.086275670389622805e-01,1.842052072701532595e+01
5.601098872818981445e-01,1.930105652483844736e+01
6.097187194400122134e-01,2.011138522892662195e+01
6.602604354315712021e-01,2.085180155189347317e+01
7.117376087292190956e-01,2.159231611239820126e+01
7.613425806783672423e-01,2.229762888849757729e+01
8.118804364609603086e-01,2.293302928347563352e+01
8.633524628133202317e-01,2.353352260666196472e+01
9.129548612898243931e-01,2.416882476410214409e+01
9.634914303360953003e-01,2.476921984975060198e+01
1.013091255339955588e+00,2.533451138853158113e+01
