2.960241438131480107e-01,1.106605104317019972e-01
4.008004198924025596e-01,1.400201745177800383e-01
5.019436425665925183e-01,1.739191051043169622e-01
5.994702138826925042e-01,2.078221362025980401e-01
7.042218868914839058e-01,2.439845492717491737e-01
7.981482088964703125e-01,2.733565148930587885e-01
9.006094043870011001e-01,3.085767025021017851e-01
9.988460856211153205e-01,3.452084153435679426e-01
1.247643686487629910e+00,4.184125164931695728e-01
1.500598750650007585e+00,4.994854237438461908e-01
1.993979537535173652e+00,6.537719240694572775e-01
2.497848901913329644e+00,8.014852661019502555e-01
2.997556057032955579e+00,9.426420607106581473e-01
3.495193972429981866e+00,1.077239934914247854e+00
3.994939095250940486e+00,1.207898660104632871e+00
