cif.label,MOFname,CSD_label,Formula,Usage,Synonyms,literature,comment
RSM2674,KAKCEH01_clean,KAKCEH01,C108H60Ba4O24,,,,ions
RSM3898,LAHYOL_clean,LAHYOL,C200H120Ba10O40,Yes,UPC-17,,
RSM1751,TONMAM_clean,TONMAM,C64H34Ba4O38,Yes,,,
RSM4070,HOWROC_clean,HOWROC,C192H96Ba24O108,Yes,,,
