cifname,ff_pressure(bar),ff_loading(mol/kg),ff_loading_dev(mol/kg),enthalpy_of_adsorption(kJ/mol),enthalpy_of_adsorption_dev(kJ/mol),POAV_A^3
RSM0533.cif,"[0.025185634474229, 0.046062306211193, 0.073029652550391, 0.099131415465828, 0.20004296326483, 0.29834986313357, 0.39926614952796, 0.50105275794149, 0.74986218585087, 0.99869056814179]","[0.42370533235381, 0.81212013507612, 1.3621748878275, 1.8654110595406, 3.8291001693809, 5.1221067492764, 5.8062174811877, 6.2610527903651, 6.8814696259426, 7.2794205005306]","[0.016694609361296, 0.057108926181617, 0.10693196346743, 0.094507034414654, 0.16338332426144, 0.10919743025988, 0.16946549489497, 0.073490976843661, 0.14219207192772, 0.13583628757338]","[-27.891356247869, -28.079675238832, -28.79204443225, -29.185993365094, -31.830808826586, -33.95387784457, -34.928603344059, -35.952782503139, -36.291622891256, -37.696557914079]","[0.27932099473697, 0.56878899669918, 0.72255123760112, 0.73649532313986, 1.3444254570851, 0.7544212915617, 1.7592341506406, 1.5395090169864, 1.484184156045, 3.2237479650462]",780.52
RSM1292.cif,"[0.026828038315036, 0.051438252393943, 0.079457533066894, 0.10755405706195, 0.1863981845427, 0.24009967252336, 0.32152470605286, 0.40647168428341, 0.46345907019129, 0.57038956562786, 0.62737534764231, 0.68103515263483, 0.7872111679064, 0.84427208159273, 0.9002335893369, 0.94898202804644, 0.99775292809643]","[0.74376762012944, 1.1147378337412, 1.341998076253, 1.5614739765308, 1.9947815032192, 2.2129558414556, 2.5189105278086, 2.8056171138676, 2.9843315950062, 3.2367595421186, 3.4143226414708, 3.5724374002452, 3.8347772429512, 3.9992871767554, 4.0882814817506, 4.2741920992227, 4.4207554948306]","[0.040409058684795, 0.040572497113908, 0.054237640779605, 0.034054157376385, 0.084970860507675, 0.056296748614244, 0.13200726015847, 0.11674137554063, 0.059375453050473, 0.078530846089708, 0.14258762598655, 0.15105753394061, 0.12342412163766, 0.11208848485269, 0.056027494223148, 0.18897721171207, 0.040569856551131]","[-29.315347168525, -29.000875674507, -28.039559585277, -27.337415130578, -25.511313511761, -24.561358991627, -23.349965744598, -22.475778354244, -22.326722788988, -21.607690753536, -21.698926276055, -21.12121623307, -21.53600600301, -21.465335445196, -21.574492196919, -21.941209830968, -21.229517431177]","[0.25688498665536, 0.65568126678473, 0.56693661919134, 0.67390069259102, 1.3546017892628, 0.69338707773149, 1.2950380467769, 0.99904955393147, 0.7559265504311, 1.33480727179, 1.3650636801277, 0.7986025458748, 0.85311459762374, 0.74587358758824, 1.1532833137945, 1.7109509615624, 1.3238856268655]",1903.33
RSM3919.cif,"[0.007161161787842, 0.018271684674848, 0.035989272498847, 0.07036879122689, 0.10890557309526, 0.14846807807544, 0.193208897955, 0.23741735057178, 0.26290745520958, 0.32218013106507, 0.3668894554324, 0.41367088592356, 0.46823927199683, 0.5196821795632, 0.56333322582443, 0.61321942034289, 0.66310831172479, 0.7176665577083, 0.76909239593872, 0.81274190113514, 0.86573868683225, 0.91821312598218, 0.94885949326125, 0.98002556276036]","[0.36948151188422, 0.59924860623079, 0.78560155109161, 0.993085378405, 1.0988260039786, 1.2039114083908, 1.2310456110336, 1.2054172675453, 1.2574067676801, 1.2796383067269, 1.3147271241818, 1.2811786512056, 1.3112469802123, 1.3320100191944, 1.3066977911728, 1.3141293785552, 1.333007219833, 1.3413268043155, 1.3225006910242, 1.3438413592052, 1.3465915638165, 1.3512068497217, 1.3510689084246, 1.3384817650624]","[0.02079798315085, 0.044878875459288, 0.042167334414128, 0.10264525955856, 0.045103036740018, 0.072489433576762, 0.019438051042792, 0.063413426696767, 0.034077300768456, 0.037417258428992, 0.025352397699742, 0.044771791820003, 0.064759627593587, 0.01577275864333, 0.027527445537464, 0.040165775500978, 0.046415620256443, 0.028157141161789, 0.052371621012399, 0.010924459902284, 0.023670772244361, 0.033116162519751, 0.027843613749587, 0.04131983161974]","[-39.972767786619, -40.255768044366, -41.221969186767, -41.773593990339, -42.883635229852, -44.555959109692, -42.007934199696, -43.238928105227, -42.219657944842, -44.500876755382, -43.824633209449, -41.13430545509, -42.255979396872, -45.395971498175, -43.865083850906, -44.260991660639, -45.056157741139, -40.506155496246, -44.508345015091, -44.659974391592, -41.260365086096, -39.785857507504, -40.607539098551, -40.98577012297]","[1.4812016911526, 1.1487168691227, 1.8659309570727, 2.2752763463121, 3.6855367372561, 2.3677962551861, 3.7879412503222, 4.0545262777182, 2.8465756570469, 5.8348876722124, 2.2207008389248, 2.6331507237701, 3.8111179067621, 6.7641275182294, 9.4645599344824, 3.4979775261281, 8.2304983828457, 1.9152908799149, 6.8103933717459, 4.5460651933518, 3.0587912582209, 7.0414384940926, 11.420040225154, 10.382726131384]",604.026
