cifname,ff_pressure(bar),ff_loading(mol/kg),ff_loading_dev(mol/kg),enthalpy_of_adsorption(kJ/mol),enthalpy_of_adsorption_dev(kJ/mol),POAV_A^3
OTEHAY_clean.cif,"[0.0024650780608053, 0.025472473294988, 0.049301561216105, 0.073952341824158, 0.099424815119145, 0.2013147082991, 0.29909613804437, 0.39934264585045, 0.49794576828266, 0.74691865242399, 0.99753492193919]","[0.0070920119502858, 0.072950949763425, 0.14193913188538, 0.21604147404361, 0.29296931894825, 0.62358846235481, 0.94026021770404, 1.3001833567765, 1.6807150067117, 2.6076671063894, 3.457578340995]","[0.00055287156701187, 0.0033413138323198, 0.010432587902556, 0.011098158038339, 0.0046403560674323, 0.034162653821483, 0.025920469330706, 0.056527900139764, 0.065198185724688, 0.11818717610421, 0.13030390787413]","[-22.158345181379, -22.185713917504, -22.305604333475, -22.513074256067, -22.5252360879, -22.996011906247, -23.429110190982, -24.193624753685, -24.329953189826, -25.533646288028, -26.331709527492]","[0.31092974316763, 0.27125157766082, 0.30958563434852, 0.54181009037772, 0.22984397994562, 0.40056110681533, 0.32870777314942, 0.52506133546182, 0.59378970342471, 0.67583692100471, 0.50226870536197]",1463.15
RSM0533.cif,"[0.025185634474229, 0.046062306211193, 0.073029652550391, 0.099131415465828, 0.20004296326483, 0.29834986313357, 0.39926614952796, 0.50105275794149, 0.74986218585087, 0.99869056814179]","[0.067706110245937, 0.12308596460768, 0.20294173684263, 0.27545120174956, 0.57525823747612, 0.89804367449212, 1.2745066004762, 1.6349136069131, 2.4873607304301, 3.3864992871911]","[0.0039921164500667, 0.0031109414509668, 0.0097528972189148, 0.0073545888766536, 0.049395263851042, 0.058552936332357, 0.038716538743413, 0.037114336858004, 0.13392526979097, 0.078636062107303]","[-21.952574310111, -22.025785421499, -22.240164791765, -22.270304390844, -22.693088723155, -23.07930724269, -23.676751723163, -24.181176989017, -25.327655916124, -26.355757651343]","[0.40546645548045, 0.2232217372145, 0.34213075253798, 0.17728116036018, 0.5520799514438, 0.093190882409186, 0.20540671638689, 0.73504291902588, 1.3735447190974, 0.7777438660381]",780.52
RSM1292.cif,"[0.026828038315036, 0.051438252393943, 0.079457533066894, 0.10755405706195, 0.1863981845427, 0.24009967252336, 0.32152470605286, 0.40647168428341, 0.46345907019129, 0.57038956562786, 0.62737534764231, 0.68103515263483, 0.7872111679064, 0.84427208159273, 0.9002335893369, 0.94898202804644, 0.99775292809643]","[0.11643974321045, 0.2204270417804, 0.33357533478139, 0.4228324552088, 0.67504764697395, 0.81227483788139, 1.0157690580039, 1.1515945667, 1.262227340781, 1.4267623045996, 1.4988613330147, 1.5874551574425, 1.7421533157667, 1.7948790937598, 1.8334128393694, 1.9113438669846, 1.9223070241946]","[0.0096576388579355, 0.01724469810107, 0.036149079255142, 0.011954405508527, 0.031370978235639, 0.037300251427425, 0.057402257584609, 0.055050873066559, 0.058004360751025, 0.028979921862335, 0.032791071173624, 0.031397129082636, 0.10846567642552, 0.091848124289309, 0.070564764068807, 0.04323778286145, 0.084551310016259]","[-23.490953996325, -23.362840371488, -23.447610851978, -23.117153309554, -23.072743591662, -22.919259351642, -22.420817224148, -22.436916016063, -22.022491914228, -21.675111122197, -21.377373142767, -21.072614053029, -20.37543796197, -20.464847555145, -19.800425615059, -20.015780682281, -19.794323663665]","[0.25972564914819, 0.28075360222161, 0.38588650819386, 0.321124308864, 0.48286949689456, 0.3790676876772, 0.39033191156785, 0.54950699658277, 0.47184382197168, 0.9970290921487, 0.6686784398826, 0.73281639270659, 0.30850411147972, 0.45725171069151, 1.2954705212309, 1.2522402949956, 0.4060169198407]",1903.33
RSM3919.cif,"[0.007161161787842, 0.018271684674848, 0.035989272498847, 0.07036879122689, 0.10890557309526, 0.14846807807544, 0.193208897955, 0.23741735057178, 0.26290745520958, 0.32218013106507, 0.3668894554324, 0.41367088592356, 0.46823927199683, 0.5196821795632, 0.56333322582443, 0.61321942034289, 0.66310831172479, 0.7176665577083, 0.76909239593872, 0.81274190113514, 0.86573868683225, 0.91821312598218, 0.94885949326125, 0.98002556276036]","[0.066792325582061, 0.15137045714429, 0.2720087428068, 0.40691533139016, 0.53316610357924, 0.64763726376117, 0.70020439306049, 0.75856793063886, 0.77777625626282, 0.86350102485736, 0.85813855693182, 0.91414272356254, 0.94825158305823, 1.0120666756384, 0.97862740620061, 1.0258837955608, 1.0477992191407, 1.0631882951007, 1.1009583465184, 1.0631739262213, 1.0997686028307, 1.110648722641, 1.1226812270492, 1.1408607404931]","[0.0038171115739046, 0.01256768900103, 0.026538123243631, 0.02362978355693, 0.052367969361411, 0.063015691898964, 0.041658978265564, 0.083341683227395, 0.030198107317127, 0.064316497056337, 0.058883100733135, 0.051500138847774, 0.07169810616864, 0.020185051411666, 0.084237287410802, 0.10395066893779, 0.066890869103215, 0.04170361055166, 0.058904614592356, 0.066781781470008, 0.023170010764278, 0.034580046068546, 0.028196936639758, 0.052977587992036]","[-35.203796945283, -34.988995701446, -35.400944019023, -34.568221379695, -35.761807803913, -35.358932262436, -36.345299111189, -34.808190533204, -35.05893134785, -36.916213281451, -35.099132889343, -35.812587945757, -35.284287662235, -35.225810364754, -35.05032359715, -35.031841311017, -35.808729640069, -35.454237775727, -34.707018948559, -37.104815710924, -36.177844902846, -36.231267449885, -36.943628661462, -37.000221080375]","[0.31548361643927, 0.60120693755041, 1.438519351808, 1.2041026747483, 2.2364292318309, 1.7289376169215, 0.95772144205266, 2.9060150241534, 2.4100052547122, 2.0737768576488, 3.2455508135658, 1.6235812027637, 2.9113526227832, 1.9552826985275, 2.7902963674308, 3.1313216183183, 3.1148915966177, 3.1398874809808, 2.4843782810772, 5.278755697455, 3.1154423769258, 1.9502509374506, 4.7017892045596, 1.8506493227907]",604.026
