cifname,ff_pressure(bar),ff_loading(mol/kg),ff_loading_dev(mol/kg),enthalpy_of_adsorption(kJ/mol),enthalpy_of_adsorption_dev(kJ/mol),POAV_A^3
RSM0516.cif,"[0.010575793184489, 0.021151586368978, 0.030552291421857, 0.051703877790834, 0.075205640423032, 0.10105757931845, 0.12925969447709, 0.15746180963572, 0.18096357226792, 0.19976498237368, 0.23149236192714, 0.26674500587544, 0.29964747356052, 0.33842538190364, 0.37837837837838, 0.41950646298472, 0.46063454759107, 0.4994124559342, 0.54876615746181, 0.59929494712103, 0.65099882491187, 0.70152761457109, 0.75088131609871, 0.80023501762632, 0.85076380728555, 0.90011750881316, 0.951821386604, 1.0011750881316]","[0.17371152953664, 0.39530237484984, 0.55860207712968, 1.0314499306356, 1.6143311817598, 2.3753150373941, 3.243027667213, 3.819284581865, 4.5639414851923, 5.0104881576713, 5.931995228317, 6.5720509917252, 7.0873609929132, 7.281865997754, 7.7669515206878, 8.0559928990994, 8.3238484724842, 8.439510292663, 8.655502894625, 8.9844864567305, 9.2862031031069, 9.0194490708667, 9.212958161796, 9.3397711998629, 9.5943931899082, 9.5613922243855, 9.5507993218721, 9.641880175962]","[0.015187550378503, 0.012345694580225, 0.045901515974369, 0.075456412937357, 0.11206189462935, 0.30879325801778, 0.32287202363787, 0.33329985855094, 0.22020277068253, 0.47444240173302, 0.33864230099138, 0.45188044914048, 0.37678280688638, 0.272088729609, 0.22221240254911, 0.23771001786762, 0.22597668479747, 0.31877117077415, 0.47056482286949, 0.4524473017306, 0.39227735128926, 0.21302578962998, 0.73641823748419, 0.20006447358148, 0.38742809278153, 0.3853086100412, 0.19556140295814, 0.41763364613632]","[-24.88725923524, -25.256342487508, -25.347490126629, -26.302322798966, -26.811095840297, -27.319882267841, -28.923078163844, -28.918308265363, -30.19287620663, -31.047243354701, -31.828311009121, -32.815031719505, -33.089831965612, -32.940095948384, -33.652234749279, -35.259489494733, -35.535934748447, -34.845706517672, -35.834244344117, -36.046845010933, -37.169303584346, -36.434670541185, -36.313317535939, -38.672423902289, -36.242916198981, -37.393579772684, -36.787806157658, -36.909628096081]","[0.31952986954678, 0.43411584478644, 0.48316310393854, 0.50279110024694, 1.322665818596, 0.7472705179051, 0.96180767088208, 1.2497903519493, 0.53416620521647, 1.8597811395741, 1.4398628370457, 2.086770754866, 1.7030037498025, 1.4768669027961, 2.8229385730796, 1.6100798516708, 1.7870178926276, 3.7886604308531, 3.3867104670209, 3.605633974375, 4.1501724576588, 2.0881607509582, 3.9759352556268, 1.9066201059257, 4.272119436615, 2.9119621278259, 2.9731178984477, 1.6973908025908]",732.28
RSM4131_correct.cif,"[0.0092687950566426, 0.027806385169928, 0.049433573635427, 0.069001029866117, 0.10092687950566, 0.1513903192585, 0.20082389289392, 0.24922760041195, 0.30072090628218, 0.35118434603502, 0.40164778578785, 0.42533470648816, 0.45211122554068, 0.47579814624099, 0.50154479917611, 0.54994850669413, 0.59938208032956, 0.65087538619979, 0.69927909371782, 0.74974253347065, 0.80123583934089, 0.85066941297631, 0.90010298661174, 0.95159629248198, 0.97940267765191, 0.99794026776519]","[0.01719737607682, 0.051445518026396, 0.09056111852218, 0.1246919723217, 0.18423037320778, 0.2845557308324, 0.37256583193142, 0.46617644255298, 0.55986035826558, 0.6518142736494, 0.74107056142798, 0.787282095431, 0.84726032692926, 0.8921816911937, 0.9441110228913, 1.04245714286, 1.1463744502973, 1.260085318891, 1.3394454183681, 1.409627719559, 1.5354339293612, 1.640524118387, 1.7538977835135, 1.8370550871153, 1.8705115340026, 1.9288184092361]","[0.0021176928070502, 0.0035068962967475, 0.0060118046957467, 0.011354105512685, 0.0079030375724978, 0.0098224017718913, 0.015914764760954, 0.010630038010179, 0.023579477972982, 0.034466233157261, 0.013148768811196, 0.024157232201056, 0.0071626246237768, 0.050854206218303, 0.051217923377157, 0.031349826727308, 0.029480040627889, 0.042067020885504, 0.052271451393169, 0.069038652920566, 0.055652612725325, 0.084659516987419, 0.073391664562582, 0.10912899636005, 0.080179849925343, 0.054863831496642]","[-15.603360105759, -15.621069566736, -15.563920081814, -15.647131775211, -15.600161465998, -15.654551146143, -15.635711173746, -15.68420701238, -15.808284652416, -15.756927157384, -15.651312181454, -15.832332111114, -15.721058259127, -15.674299052988, -15.771747940103, -15.869325617553, -15.968781438893, -15.917659325036, -15.950526302661, -15.908606586682, -15.927910753037, -16.024369476109, -16.067993232064, -15.989774762416, -16.136602978225, -16.144367979513]","[0.55916784315682, 0.45692961013694, 0.18213854314767, 0.10690519069118, 0.21157528289807, 0.15940670807247, 0.3189917022108, 0.46911293474013, 0.17903503695759, 0.13244014034738, 0.37052658535166, 0.12985971913896, 0.27862004772476, 0.26440481238516, 0.11428349671165, 0.2770836846175, 0.19779687876747, 0.23973088723155, 0.21962815428234, 0.26591530933792, 0.3263286606304, 0.45958692308332, 0.20954649838285, 0.13493879756886, 0.19463166296675, 0.20035621461176]",8880.29
RSM2489.cif,"[0.020812685827552, 0.041625371655104, 0.069375619425173, 0.082259663032706, 0.10109018830525, 0.1605550049554, 0.20416253716551, 0.25569871159564, 0.31119920713578, 0.36471754212091, 0.41228939544103, 0.45490584737364, 0.50545094152626, 0.5619425173439, 0.61546085232904, 0.66005946481665, 0.71456888007929, 0.76511397423191, 0.80574826560951, 0.85431119920714, 0.90386521308226, 0.94945490584737, 1.0029732408325]","[0.08349556023375, 0.155114738226, 0.2354935683135, 0.26091952476975, 0.3057413850414, 0.42756944530545, 0.4860655489977, 0.5452243679421, 0.60070216454535, 0.6424663485051, 0.68024111787765, 0.7023206903874, 0.72845529285585, 0.7571357717385, 0.78103945157595, 0.79526486411715, 0.8166226675404, 0.8267799270486, 0.83278373354085, 0.853262290986, 0.8683144572081, 0.87931815500865, 0.88098478544475]","[0.0048576651087901, 0.010499361625112, 0.010200014484269, 0.0040428867581118, 0.011609834807578, 0.013911981454557, 0.025029752155875, 0.032211665163473, 0.016005815149697, 0.018623783225057, 0.021935539577863, 0.019221581568213, 0.0098667193675047, 0.034355647112281, 0.016282641835226, 0.035740383886389, 0.030751353496841, 0.0054200680009293, 0.020646287184731, 0.013145299066204, 0.017843540186614, 0.033278817555398, 0.027754821262565]","[-26.877218910312, -26.874576255685, -26.897803995909, -26.945209315474, -26.904744123785, -26.996853741072, -26.793749719388, -26.935036957588, -27.005872806033, -26.998770131285, -26.810942522428, -26.797824116801, -26.754307201117, -27.023225079611, -26.631985649314, -27.09781613496, -26.941809549941, -27.091981408961, -26.887056862305, -26.992874128025, -26.931624637284, -26.715345339353, -26.916223425041]","[0.17908492346578, 0.22443276545858, 0.19043085314243, 0.27544862936819, 0.073839240727345, 0.25729213539198, 0.48376574958636, 0.30481000723354, 0.39006453651277, 0.30086337748289, 0.78061529187765, 0.5454472076027, 0.49207043974957, 1.0926894315432, 0.62223221338122, 0.57462270002411, 0.32531440971789, 0.76736744739052, 0.63629711572838, 0.46212730205449, 0.51003758948392, 0.87362887763671, 0.99105762723138]",912.162
CAU10.cif,"[0.032847062403712, 0.019940278068357, 0.0051086977195351, 0.063586739448809, 0.095288814500637, 0.12701371322061, 0.15772295870818, 0.19041786332427, 0.21914144968332, 0.25381440553854, 0.28349278201495, 0.31718051619529, 0.34784411434658, 0.38051619529452, 0.41017935599216, 0.44382144283622, 0.47545504688362, 0.50613386081366, 0.53578941362193, 0.56841584723358, 0.60003423550222, 0.63169066321776, 0.66231622192213, 0.69393461019077, 0.72654582802366, 0.7562089887213, 0.78778172965365, 0.81941533370105, 0.85298134165129, 0.88063601955228, 0.91322441371702, 0.94580519999239, 0.97740076459288, 1.0080111075185, 1.0386290583335]","[0.17130844955056, 0.1031634860109, 0.02686455261623, 0.3272099505353, 0.47588850584737, 0.63988391061084, 0.7679447852398, 0.92856147321252, 1.0382721615379, 1.1848934537374, 1.2931024901558, 1.4017620221464, 1.5261588661222, 1.6221144229795, 1.6648664527718, 1.755866558336, 1.8742868277221, 2.0017170085501, 2.0071229554153, 2.1870058373548, 2.1810893288412, 2.3572781470895, 2.3780910425206, 2.3440485937889, 2.4505307305142, 2.5348935346495, 2.5726901131487, 2.6029333825557, 2.6218091470266, 2.7902644579539, 2.7337422801744, 2.8133598642836, 2.8535290527958, 2.9450697530465, 2.8798680272446]","[0.010323941493726, 0.0073981316277087, 0.0011530496636619, 0.0089430904248807, 0.014168274740454, 0.036275459537264, 0.019250216931114, 0.032789751399627, 0.039118029294178, 0.053110046260528, 0.057635317319617, 0.050825236182654, 0.025498668421842, 0.13471093532386, 0.11927780563724, 0.11706053833045, 0.096289264515703, 0.066682976206065, 0.086224920494738, 0.053270516717638, 0.13769892195804, 0.11357688979851, 0.21736076007924, 0.093035381669766, 0.067974353178048, 0.091368607218081, 0.13769620351759, 0.1409753689559, 0.12370691895705, 0.16968487414041, 0.073974207907455, 0.10807660744862, 0.14422590392897, 0.10813781475032, 0.13897147079795]","[-25.065387160876, -25.009105451764, -24.790984676528, -25.455026398277, -25.576518254305, -26.000171942165, -26.372236412162, -26.786715721733, -26.848096912857, -26.889966659184, -27.223738494924, -27.669382903894, -27.771700963641, -27.766098043617, -27.703119569646, -28.277173763022, -27.997406483583, -28.307811063165, -28.220650935788, -29.073041912981, -28.548458423753, -28.849474695069, -29.2230745055, -28.946327937276, -28.854721841145, -29.30959167893, -28.675527923973, -29.533209032784, -29.196586598821, -29.605246065202, -29.641112385989, -29.392613221588, -29.468451855362, -30.197198207411, -29.755498657221]","[0.36871730147248, 0.23024207428101, 0.39879739426139, 0.318022315898, 0.39408088265862, 0.53713348798151, 0.55158643253265, 0.28662293282782, 0.39787758682331, 0.3046154997381, 0.37651117873504, 0.48568502490168, 0.61642894082629, 1.1120895545966, 0.67183462622534, 0.82441390004407, 0.5741089521339, 0.46803644209424, 1.0266778079868, 0.99029628428658, 0.47338251311599, 0.66456054974932, 1.3468707939438, 0.9373907693331, 1.0216283371995, 0.92106313137612, 0.86026419894739, 1.0533119153925, 1.3629019979547, 1.382735967341, 0.79648374115554, 0.92997908092423, 0.44063707565289, 1.9635686064204, 1.5352492163661]",2371.29
RSM0112.cif,"[0.04696449026346, 0.061855670103093, 0.081328751431844, 0.10309278350515, 0.12142038946163, 0.14089347079038, 0.15922107674685, 0.1786941580756, 0.19702176403207, 0.2176403207331, 0.23825887743414, 0.25658648339061, 0.27262313860252, 0.29095074455899, 0.30813287514318, 0.32646048109966, 0.35624284077892, 0.37915234822451, 0.40320733104238, 0.42611683848797, 0.44788087056128, 0.47193585337915, 0.49484536082474, 0.51890034364261, 0.53951890034364, 0.56357388316151, 0.58762886597938, 0.60939289805269, 0.63344788087056, 0.65406643757159, 0.67812142038946, 0.70217640320733, 0.72508591065292, 0.74684994272623, 0.7709049255441, 0.79381443298969, 0.81672394043528, 0.83963344788087, 0.86254295532646, 0.88545246277205, 0.90836197021764, 0.93127147766323, 0.95418098510882, 0.97938144329897, 1.0]","[0.2583594300781, 0.34531797711165, 0.4327882958786, 0.57865745572222, 0.65693009928318, 0.73395174515988, 0.83806886108695, 0.93955603905333, 1.0202595981774, 1.0691053668972, 1.1850927439766, 1.28834269119, 1.3095101386619, 1.4250283916523, 1.4888576995693, 1.5378314112225, 1.6538045723067, 1.7271300891115, 1.8079615911689, 1.8547460571305, 1.9397712443392, 2.0681690857829, 2.0213846198213, 2.0472006607087, 2.0759167412482, 2.1763945915724, 2.186829048638, 2.2447587656257, 2.3641010906215, 2.4006216902659, 2.4579685560559, 2.5202483329481, 2.521470898642, 2.5126144045916, 2.6184374262967, 2.6249483000729, 2.6700126442613, 2.7088504325306, 2.7527064268499, 2.7328326245362, 2.7404949847126, 2.7814651552044, 2.9175537886443, 2.8317609438355, 2.8928750183324]","[0.020288488561006, 0.024598717100895, 0.043342952027196, 0.040877222850791, 0.041085363314805, 0.050425268585626, 0.096599131162627, 0.069295363534322, 0.074508438783634, 0.096900145060779, 0.067453984613687, 0.10365791867443, 0.10147671803451, 0.096567535911122, 0.12403196830446, 0.044085609919301, 0.10521688557588, 0.12608112006641, 0.14193782491836, 0.054490866313367, 0.16015562875114, 0.12208797659242, 0.057265946661232, 0.13219099237149, 0.064739979616257, 0.13295749694987, 0.16430371179979, 0.074354414768616, 0.16300197757765, 0.12313282187526, 0.12289307148895, 0.17429302401163, 0.1410426085549, 0.1896066203234, 0.17556912682886, 0.077030214812013, 0.12971339930276, 0.27299127615767, 0.11264743431026, 0.081750717785686, 0.14101932601166, 0.21949586915487, 0.059208052494435, 0.22278909944724, 0.067189940764375]","[-23.675704023347, -24.280088049687, -24.157552069043, -24.422476781988, -24.728530592901, -24.629818080533, -24.515252550448, -24.749135882534, -25.322628104396, -24.972430720112, -25.094013702161, -25.520885734953, -25.586397196378, -26.033891397072, -25.85378555453, -25.843413484323, -25.935615557939, -26.435466064703, -25.909095973327, -26.309402359632, -26.309155587705, -26.984007798924, -26.703752962011, -26.575626532971, -26.999040433015, -26.890491382106, -27.172456411663, -26.590038412611, -27.621666292518, -27.272289458149, -27.379016570635, -27.074379536554, -27.718071803314, -27.49135824333, -27.39382612889, -28.035133238549, -27.804595378846, -27.39795914295, -27.886584603361, -27.896213115163, -28.062673168542, -27.86867118971, -28.24418872066, -28.121870411481, -28.183287770323]","[0.24748048190367, 0.62969415413268, 0.76814717351359, 0.48603709061884, 1.0540609114265, 0.34352431551554, 0.93717964963042, 0.78291585808951, 1.1673878260291, 0.89362491165931, 0.70544228546723, 0.47139290613853, 1.0394385938656, 1.1378199429631, 1.6189226925411, 0.72343345555528, 0.68107468841718, 1.1885331786852, 1.1013990504935, 1.0699506040425, 0.72022107206106, 0.94174754101087, 1.9576702834385, 0.75728738785929, 1.0817914660813, 1.1859037606113, 1.5322717900111, 0.98416555669186, 0.98598205748589, 1.3347414798001, 1.2828172740349, 1.994778869738, 1.0342819834876, 2.2312738353579, 1.9091117208351, 2.0192707507088, 1.0109418489603, 1.1424892702435, 1.0024686089147, 2.0512752986955, 0.97390947261646, 1.3516034438319, 1.6371345189693, 1.6226282291121, 2.5721702293948]",315.871
AlTBAPy.cif,"[0.037656903765691, 0.054393305439331, 0.077405857740586, 0.096234309623431, 0.14803337275984, 0.19748110625656, 0.24467404786434, 0.30597360286654, 0.34807516871519, 0.39091277592483, 0.44330840595076, 0.5002149180319, 0.59030638061711, 0.70027095994907, 0.79566192033342, 0.88509094569375, 0.98744769874477, 1.084484550386, 1.1805379479953, 1.2825532806285, 1.3759569293382, 1.4773098247466, 1.5687261617816, 1.6747161177642, 1.7634827058996, 1.8694726618822, 1.9940108601618]","[0.24949885513885, 0.33445510402992, 0.46122911113955, 0.54940838193682, 0.75030645802656, 0.92420289350233, 1.0435253609015, 1.1972140468087, 1.3192975515439, 1.4058354182729, 1.5235817029252, 1.6322785247232, 1.7754611375228, 2.0141115074122, 2.1384723244186, 2.2588328983929, 2.4777048926393, 2.6051800293059, 2.807398837817, 2.9248190157312, 3.0413750107031, 3.2007760002213, 3.3462902763987, 3.4840595168047, 3.64215607924, 3.7722346349485, 3.9370109510921]","[0.018358681654388, 0.019119438464767, 0.027030896467626, 0.036607379397917, 0.038155941520832, 0.028321613206519, 0.050329105018361, 0.039684101915012, 0.037428815319059, 0.067978975964257, 0.04236542130967, 0.090927767404047, 0.048377719311275, 0.053354013278537, 0.078819743375247, 0.071807916120718, 0.057039089476464, 0.05469897566121, 0.0609789433068, 0.049125884943573, 0.051757405877705, 0.05104814230474, 0.059155884070716, 0.16966263647018, 0.10317032733548, 0.059451364165328, 0.094261207040959]","[-30.157405984718, -30.032528580812, -29.335311915392, -29.092130486477, -28.036593416644, -27.621800902946, -26.317358343103, -25.966286032609, -25.156514595961, -24.941858022998, -24.607039402027, -24.348383677135, -24.05498906654, -23.231670616015, -22.846964572265, -22.886527233876, -22.836732516857, -22.732407439741, -22.733225994197, -22.902642987204, -22.745026065701, -22.942918443874, -22.596568390246, -22.428534833254, -22.682430720112, -22.764765824416, -22.490051383103]","[0.39725472051084, 0.1874933609372, 0.75345917205025, 0.60917703890316, 0.99472965669768, 1.4140387618169, 1.2288452853093, 1.0512706259925, 0.71409090984677, 0.65921047117807, 1.2776596742411, 0.64375008522278, 1.2601706451157, 0.7847134352681, 0.83389819826561, 0.51654757094277, 0.61291802815262, 0.60026146350386, 0.73895378846458, 0.73192960182252, 0.21001805891597, 0.30539426970309, 0.652221687328, 0.75247965046187, 0.45756397528955, 0.29217385448106, 0.70403244285916]",3206.17
RSM2706.cif,"[0.023294496511664, 0.052123176807184, 0.079841925479557, 0.10424776037181, 0.12864937499174, 0.15635546284711, 0.18187122936252, 0.20737855533326, 0.25617334402844, 0.31051357056703, 0.36151978196385, 0.41253443390533, 0.46464213638063, 0.51233543399733, 0.56666299971893, 0.61877492246656, 0.6708868452142, 0.72189305661101, 0.77398809826932, 0.82278288696451, 0.87599630079063, 0.92588414001963, 0.97797918167794, 1.0245456665822]","[0.038207991376725, 0.085034569376109, 0.12800914489189, 0.16947735066779, 0.20822333121658, 0.25903102916671, 0.30652471375689, 0.3416876863839, 0.42079361504609, 0.52291472070321, 0.60621696491719, 0.67950185069019, 0.74511501076594, 0.81446181572776, 0.89144806702006, 1.0005845515564, 1.0753758070209, 1.1661023019159, 1.2312420315047, 1.3041610846156, 1.3726148275643, 1.4660635476864, 1.5251455191426, 1.6203480839724]","[0.0026621713512936, 0.0065747824474924, 0.0096724649255085, 0.0062818708720205, 0.013356458715088, 0.016492526586418, 0.018596641645591, 0.023569418206741, 0.018910129031406, 0.012346194043558, 0.038978607580206, 0.041177487824398, 0.054943336279564, 0.03939426990826, 0.048045825239379, 0.05510469960753, 0.066365116845512, 0.076355517993779, 0.033932338345744, 0.068285577522381, 0.12763208623012, 0.080961273302498, 0.089424612210687, 0.11618592639408]","[-22.645815103972, -22.661259384899, -22.903747225063, -22.888793577944, -22.990319689373, -23.022141212076, -23.312182617878, -23.253326681799, -22.999711655983, -23.669349563077, -23.910495206738, -23.845870976861, -23.792459986863, -24.139511278508, -24.110593815736, -24.627934033407, -24.259756969561, -24.667621993299, -24.669727037656, -25.202799131975, -24.979151347351, -25.308230192978, -25.183269728035, -25.592329949365]","[0.52782403365676, 0.40847832015498, 0.38561427751865, 0.37119123992916, 0.57938583888321, 0.5993545267849, 0.72939824399491, 0.61701974674283, 0.40053726937883, 0.72597426687619, 0.84516170711631, 0.7204446717052, 0.58106753801768, 0.7720700406575, 1.1432910129455, 0.69087164201442, 0.76861842641324, 0.49322051499505, 0.4203110922651, 0.99832494408554, 0.5309552767454, 0.93357970616847, 0.59529330772493, 0.33623820807663]",712.579
