cifname,ff_pressure(bar),ff_loading(mol/kg),ff_loading_dev(mol/kg),enthalpy_of_adsorption(kJ/mol),enthalpy_of_adsorption_dev(kJ/mol),POAV_A^3
RSM0516.cif,"[0.010575793184489, 0.021151586368978, 0.030552291421857, 0.051703877790834, 0.075205640423032, 0.10105757931845, 0.12925969447709, 0.15746180963572, 0.18096357226792, 0.19976498237368, 0.23149236192714, 0.26674500587544, 0.29964747356052, 0.33842538190364, 0.37837837837838, 0.41950646298472, 0.46063454759107, 0.4994124559342, 0.54876615746181, 0.59929494712103, 0.65099882491187, 0.70152761457109, 0.75088131609871, 0.80023501762632, 0.85076380728555, 0.90011750881316, 0.951821386604, 1.0011750881316]","[2.3179745394581, 5.2100330904886, 6.9933074866934, 8.3865759593052, 9.0281255935807, 9.4927948813284, 9.8007888032683, 9.9544160689226, 10.066984520134, 9.9801136657608, 10.349914608634, 10.251454937836, 10.478221517568, 10.398714390298, 10.739060424758, 10.743059170009, 10.807582319791, 10.950978833446, 10.862930989904, 11.019304563618, 11.132476599018, 11.064980797105, 10.986016895605, 11.199881863302, 11.287175226607, 11.222878420895, 11.327524829628, 11.164225127349]","[0.29035485317517, 0.53635517701401, 0.46005004732771, 0.4437075110805, 0.16918364677447, 0.28954434318466, 0.24701651407474, 0.39790221113378, 0.28199493668447, 0.32480388706179, 0.27319239235199, 0.24457424972055, 0.32804729860855, 0.20082581162032, 0.45377244353511, 0.18823678955882, 0.13304146363053, 0.40784080243244, 0.29017411097628, 0.36135515458051, 0.22467671704087, 0.38429543362188, 0.47361458082726, 0.17774693540462, 0.37613524470857, 0.25046861014681, 0.160777324317, 0.34180524957495]","[-33.581744531192, -36.659993847331, -38.050860126545, -40.367495780433, -40.277872922435, -42.748707773149, -44.664498765309, -42.511872573229, -42.232519933817, -40.965140887814, -44.579977800504, -42.733533877096, -46.402192844612, -43.667671879807, -41.843684783784, -42.618144637616, -46.463055299194, -45.933431859187, -46.177334065002, -41.713731095092, -46.071832248302, -44.10277219326, -41.720751789678, -44.067294987237, -42.233823883997, -42.515867152229, -38.605524265629, -47.353194066831]","[0.3532575640418, 1.5117586490734, 1.3313646038596, 3.1784791682256, 3.3062460485728, 4.9650393937126, 3.8006507694994, 1.7802129239314, 3.0082164658735, 8.2805819261181, 6.6466727528207, 2.5088660131534, 4.9541241675189, 3.8093357777722, 6.9706629501218, 6.5604748364138, 7.037675305347, 3.1727578093171, 1.9865453426787, 3.6336308148961, 8.3635900077324, 11.128202264847, 4.9934928454433, 6.4035052921271, 5.8675489428217, 9.4031279672079, 5.7625827243022, 7.0899197159795]",732.28
RSM4131.cif,"[0.0092687950566426, 0.027806385169928, 0.049433573635427, 0.069001029866117, 0.10092687950566, 0.1513903192585, 0.20082389289392, 0.24922760041195, 0.30072090628218, 0.35118434603502, 0.40164778578785, 0.42533470648816, 0.45211122554068, 0.47579814624099, 0.50154479917611, 0.54994850669413, 0.59938208032956, 0.65087538619979, 0.69927909371782, 0.74974253347065, 0.80123583934089, 0.85066941297631, 0.90010298661174, 0.95159629248198, 0.97940267765191, 0.99794026776519]","[0.072821284710116, 0.21754020991292, 0.39748956539074, 0.53886577808604, 0.78045006027788, 1.1642462332864, 1.5135157049642, 1.8325834761003, 2.2391482126762, 2.5393325904877, 2.8660240918612, 2.9826378423503, 3.1948121190627, 3.2829101862798, 3.4980459889516, 3.8061033343277, 4.0533174480741, 4.3724145412642, 4.5793841559853, 4.9501760045509, 5.2512107214888, 5.5292716206133, 5.7175777573049, 6.0066637432164, 6.2182222571026, 6.3568568591336]","[0.0055809015669513, 0.013419310674432, 0.0068104184472313, 0.0332229187034, 0.0080870375991024, 0.014272756786105, 0.057616233008577, 0.046855903256942, 0.065525711438246, 0.056950662512746, 0.092186990146277, 0.114639536908, 0.14670199290348, 0.063775226615487, 0.21038178056924, 0.087511409058518, 0.17653329831651, 0.12913658492972, 0.10863787481562, 0.17759172417602, 0.096317788950139, 0.14558238689477, 0.21147830503829, 0.21553365624834, 0.22968888689206, 0.19636114853211]","[-21.115382837378, -21.259699600076, -21.24655018167, -21.022574393255, -20.934344948575, -20.701736881927, -20.64829945208, -20.55874676777, -20.780832356389, -20.487688924364, -20.674489868882, -20.482214462099, -20.368478378356, -20.440516075927, -20.319012579714, -20.449793968721, -20.377554646513, -20.401455189444, -20.03109808519, -20.405769540961, -20.116672237327, -20.36991785355, -20.200424700473, -20.41059589434, -20.280594148313, -19.908993872274]","[0.63517496861307, 0.22592466305821, 0.15806926741663, 0.18289539630674, 0.53767238698627, 0.43315570410649, 0.37380677292493, 0.28212045097403, 0.52754477729831, 0.40668694553225, 0.46380745470721, 0.66709964830012, 0.25572920771911, 0.59875307841328, 0.45980336401354, 0.39575742685391, 0.31705026065701, 0.56162911875483, 0.44236488654977, 0.57482622866312, 0.42244610178511, 0.63561468492513, 0.47511421516051, 0.82336918510389, 0.75107171185553, 0.71091796995169]",8880.29
RSM2489.cif,"[0.020812685827552, 0.041625371655104, 0.069375619425173, 0.082259663032706, 0.10109018830525, 0.1605550049554, 0.20416253716551, 0.25569871159564, 0.31119920713578, 0.36471754212091, 0.41228939544103, 0.45490584737364, 0.50545094152626, 0.5619425173439, 0.61546085232904, 0.66005946481665, 0.71456888007929, 0.76511397423191, 0.80574826560951, 0.85431119920714, 0.90386521308226, 0.94945490584737, 1.0029732408325]","[0.56656904829105, 0.76077742485675, 0.86862284945415, 0.9152819401278, 0.9553860551886, 1.0528248818661, 1.0797009380325, 1.122633075605, 1.1851251554216, 1.2171454567136, 1.2422170901637, 1.2306228540196, 1.2629318629463, 1.2966384792858, 1.3054178159925, 1.332385733679, 1.382732408231, 1.3503380993214, 1.3828636389739, 1.4167080475937, 1.4261632226268, 1.4416943810609, 1.4384136124859]","[0.037137270790067, 0.041769964201548, 0.029812650018625, 0.026486629566455, 0.020600902817003, 0.031177823018551, 0.016561246959784, 0.046612775669985, 0.060071373962181, 0.03134472049276, 0.032375839757242, 0.070213394851519, 0.045972584862563, 0.030991261772333, 0.020040614524564, 0.038378295622685, 0.10704084429274, 0.090070738347054, 0.11230556926645, 0.044491119902498, 0.10537008722719, 0.071207757749686, 0.051410259514865]","[-33.722545874801, -33.74170154565, -33.87949024303, -34.038899004764, -33.894917479401, -33.748676178361, -34.319832381332, -34.339296433946, -34.624166354876, -34.206983030273, -34.542738021002, -33.632217787866, -34.572740182751, -35.130555569413, -34.703588419679, -34.549608224622, -35.502034953813, -33.73114423021, -34.426946446833, -33.631035477622, -35.149634248751, -34.304170844662, -34.832628520117]","[0.37253189826478, 0.52750784465341, 1.1865644907835, 1.7095740856219, 1.2050736657438, 0.59256926325942, 1.9783086228829, 1.2025601340284, 1.0612101968023, 1.4053180348042, 3.2155035377849, 1.7929134302794, 2.8628908566345, 2.3665515119769, 2.1572389646887, 2.9573588502823, 2.0310509673825, 1.5072214711531, 2.3737268879965, 3.0061081872074, 1.2263068768552, 3.0954076559161, 1.2845362300766]",912.162
CAU10.cif,"[0.032847062403712, 0.019940278068357, 0.0051086977195351, 0.063586739448809, 0.095288814500637, 0.12701371322061, 0.15772295870818, 0.19041786332427, 0.21914144968332, 0.25381440553854, 0.28349278201495, 0.31718051619529, 0.34784411434658, 0.38051619529452, 0.41017935599216, 0.44382144283622, 0.47545504688362, 0.50613386081366, 0.53578941362193, 0.56841584723358, 0.60003423550222, 0.63169066321776, 0.66231622192213, 0.69393461019077, 0.72654582802366, 0.7562089887213, 0.78778172965365, 0.81941533370105, 0.85298134165129, 0.88063601955228, 0.91322441371702, 0.94580519999239, 0.97740076459288, 1.0080111075185, 1.0386290583335]","[1.4519472288783, 0.9786265477919, 0.25927521826262, 2.4312345035093, 2.9973873054864, 3.3368957851401, 3.57651437994, 3.7284665364094, 3.8539295532392, 4.0042749421681, 4.0313347095322, 4.1273653489849, 4.1849536996183, 4.2158877289025, 4.2699171645164, 4.3474774855129, 4.326259144067, 4.3797479849943, 4.4216891227568, 4.5031837717497, 4.4584195284021, 4.4752079967223, 4.4956755122147, 4.5358897502842, 4.5476927342732, 4.5208882477333, 4.5910604413474, 4.5467016440146, 4.5949347032674, 4.5932678696507, 4.6336172563918, 4.6282413425647, 4.644819579618, 4.6488139736906, 4.65382949106]","[0.10296405660662, 0.069792089446769, 0.015093626132385, 0.25607087329131, 0.064209862943414, 0.075581647647405, 0.22032007519304, 0.10504298849616, 0.075936231120454, 0.12420121438161, 0.14587569427713, 0.1475803142011, 0.17268072411474, 0.15532496759349, 0.09590069679795, 0.16211495152232, 0.12683972862525, 0.080529916659566, 0.099316673356676, 0.054873623621209, 0.039777327641832, 0.082115533012483, 0.1049561486271, 0.082330796194871, 0.082793051893815, 0.091725215518561, 0.10959999201285, 0.1063736548388, 0.078088013009356, 0.036056085102252, 0.04366669482859, 0.060775175351432, 0.065680984134799, 0.060956192431056, 0.075689000321774]","[-33.761577245101, -33.012566910279, -31.646021550972, -35.671948317578, -36.489675155687, -36.632897657828, -36.607127534858, -36.178301364396, -37.566485495498, -38.215546880846, -37.299812011008, -37.042312987952, -37.603885410691, -37.533612531491, -36.404721092847, -35.59584570103, -37.385160426696, -37.628163843922, -38.465310501941, -36.553138277086, -35.838889360039, -36.97434702718, -36.186931231448, -37.299210130287, -37.615015589534, -37.012050668063, -35.630694586482, -38.08092564416, -37.835578059914, -37.821860018458, -35.906457974774, -36.533418472974, -36.170058782935, -37.454744040641, -37.318938165673]","[0.77086588843714, 0.61698441046619, 0.55976768684576, 1.4229796795623, 0.62151057178253, 1.3712078188787, 1.9503616938132, 1.5878723237967, 2.3076715389156, 2.940881120451, 1.7927931622226, 0.99992017327247, 2.1804784032992, 2.3168026656024, 1.9905277992567, 1.578944210255, 1.773564839989, 2.6290393271973, 1.325206214196, 3.4520490883241, 2.2802081597699, 2.2827007890383, 1.9060697080808, 2.8259249041763, 2.5253740490384, 2.8038156527234, 3.824244460519, 2.8973521987478, 2.1213804095682, 4.8696613454391, 4.3978069641565, 3.8606291270693, 2.9561267699317, 3.6125172150025, 4.065897350195]",2371.29
RSM0112.cif,"[0.04696449026346, 0.061855670103093, 0.081328751431844, 0.10309278350515, 0.12142038946163, 0.14089347079038, 0.15922107674685, 0.1786941580756, 0.19702176403207, 0.2176403207331, 0.23825887743414, 0.25658648339061, 0.27262313860252, 0.29095074455899, 0.30813287514318, 0.32646048109966, 0.35624284077892, 0.37915234822451, 0.40320733104238, 0.42611683848797, 0.44788087056128, 0.47193585337915, 0.49484536082474, 0.51890034364261, 0.53951890034364, 0.56357388316151, 0.58762886597938, 0.60939289805269, 0.63344788087056, 0.65406643757159, 0.67812142038946, 0.70217640320733, 0.72508591065292, 0.74684994272623, 0.7709049255441, 0.79381443298969, 0.81672394043528, 0.83963344788087, 0.86254295532646, 0.88545246277205, 0.90836197021764, 0.93127147766323, 0.95418098510882, 0.97938144329897, 1.0]","[2.7202800012432, 3.0806099492013, 3.3255069394578, 3.4932827727241, 3.6345886347822, 3.7686870447576, 3.8962745811274, 3.98211007341, 4.0025098634523, 4.0652445484383, 4.1595669219665, 4.2927981632283, 4.2541451815319, 4.2759523436705, 4.4016491678599, 4.4144434611949, 4.4584273984475, 4.4120267612859, 4.4697432400513, 4.4544043040445, 4.5223704333026, 4.5524654544597, 4.6110348861142, 4.6388127186463, 4.6523746695814, 4.669391079717, 4.75094759173, 4.6882413385639, 4.831452128627, 4.793126112091, 4.7569466937728, 4.80909054694, 4.7875108388483, 4.8258510712088, 4.8480562781426, 4.9326976365513, 4.7428587551091, 4.8760331329018, 4.8097871252464, 4.8190843117365, 4.8999584614383, 4.9618828411797, 4.9558410914924, 4.9122125512201, 4.9409997112238]","[0.026113765628681, 0.1502455684864, 0.19173798719078, 0.19034028860382, 0.096732462540558, 0.096926102634868, 0.14021787407691, 0.18089121491628, 0.14249676818775, 0.1221890201211, 0.12309541545572, 0.16322857116564, 0.091698655129376, 0.17346874501049, 0.12208449381518, 0.25902822207943, 0.27805535350215, 0.13523141186292, 0.2493059753878, 0.21709837757431, 0.26498362512808, 0.18917779348192, 0.16709905131408, 0.13287609897331, 0.12628412967762, 0.21298097950584, 0.28973555423284, 0.082059427024802, 0.14934340959818, 0.1215303593236, 0.13484686726481, 0.26963501912923, 0.17984818591133, 0.24861112021682, 0.27092676612599, 0.17197433111899, 0.15049245024122, 0.028089286744264, 0.088074488839728, 0.22834038279957, 0.24655180927419, 0.21976054521286, 0.20593867223799, 0.23492426797837, 0.32784085573208]","[-35.319113516749, -35.158164342787, -36.007209099299, -36.442317228306, -36.434562453751, -37.60016687037, -37.050583256425, -37.506945199671, -36.510376061128, -37.70994570685, -37.723968554871, -37.347551570178, -37.13795457002, -35.72226501376, -35.863374655991, -37.349197492372, -37.942163328428, -36.686756794958, -37.495020578185, -37.707021276596, -36.513966808843, -36.435678248651, -37.850006984111, -36.738778944568, -35.626606137703, -37.105174727495, -36.172238490767, -37.159010916831, -40.037866354045, -36.975719155588, -36.731119037523, -36.025753577278, -38.521232695617, -37.204318342438, -36.329462722307, -36.853771503164, -35.481784024677, -37.578367713452, -38.808830826536, -38.280209107614, -39.652906803688, -37.469554762914, -39.083986347726, -37.238770879582, -37.41391284827]","[1.570997513989, 2.8256354959135, 1.2666647127784, 2.7039295269928, 3.8026011407382, 2.9235183208201, 2.3581414781372, 4.9764530027521, 1.9927858787924, 1.8929163320113, 2.3386845426654, 1.7380283604799, 2.0134548236096, 4.0375216299585, 5.0670666816326, 4.0923941366724, 4.3451243504361, 3.1265968671273, 4.5198697213839, 4.1864202356306, 4.4663416144937, 5.6493915508884, 2.1000734329401, 4.0161986065035, 4.1594176747899, 2.6534351849542, 3.1477413717127, 5.0542470296742, 3.6281230284436, 3.8755216881594, 5.9516210537693, 1.4979783076834, 4.2244835249807, 4.1224586066698, 3.536315764968, 4.9197314110399, 2.9574165939155, 2.7317317602454, 4.2550217754608, 2.6922353146592, 4.6855944808893, 4.056277776392, 2.1576020968962, 6.3797702809442, 4.5286783816817]",315.871
AlTBAPy.cif,"[0.037656903765691, 0.054393305439331, 0.077405857740586, 0.096234309623431, 0.14803337275984, 0.19748110625656, 0.24467404786434, 0.30597360286654, 0.34807516871519, 0.39091277592483, 0.44330840595076, 0.5002149180319, 0.59030638061711, 0.70027095994907, 0.79566192033342, 0.88509094569375, 0.98744769874477, 1.084484550386, 1.1805379479953, 1.2825532806285, 1.3759569293382, 1.4773098247466, 1.5687261617816, 1.6747161177642, 1.7634827058996, 1.8694726618822, 1.9940108601618]","[1.0293234110375, 1.2811050135712, 1.486938172146, 1.6372244774231, 2.0216934898309, 2.3595890202917, 2.6466010243085, 3.0495657257388, 3.2900803393775, 3.5558247468209, 3.7871703250466, 4.1369035312838, 4.5809685560697, 5.0899451335635, 5.5201560556857, 5.9483070700615, 6.2886864470707, 6.6247612147393, 6.9018813133564, 7.1995515736514, 7.5031569771731, 7.6671778126204, 7.9241716883942, 8.1236892457996, 8.306640579286, 8.4132937986434, 8.6740433373714]","[0.03114260660948, 0.062890417621487, 0.070599559342521, 0.021050168895104, 0.057979927272004, 0.084946669341623, 0.07081950785872, 0.044702425696866, 0.12345453958253, 0.11700578135517, 0.15021167831886, 0.09270937198005, 0.072611257355475, 0.072803969336353, 0.097029765671038, 0.092433100193835, 0.076220869152983, 0.066157667073654, 0.10582890984865, 0.11237902815854, 0.12472812903077, 0.19407624962961, 0.24237967333975, 0.13041015966105, 0.12463946203468, 0.028888912718996, 0.10638431481233]","[-34.066084657404, -32.043289183774, -29.978786011823, -29.653447656581, -27.935529836289, -27.686736258346, -27.270172025309, -27.316708820766, -27.127052871384, -27.027322840538, -27.004476399524, -27.065617470255, -26.684016778496, -27.846853907361, -27.589237817299, -27.709090070091, -28.021868332876, -27.991870328336, -28.3465547546, -28.709111521289, -29.131336459555, -28.976615948717, -29.64278333458, -29.46950653929, -29.606366848752, -29.847396339993, -30.362042935655]","[1.9958631446792, 1.507285392399, 1.7599039268996, 1.3371845301938, 1.4079654452787, 0.43048420676295, 1.416892735693, 0.94249402609064, 1.0427481479634, 0.95236056305239, 0.71748591953306, 1.2155887605697, 0.69861797743467, 0.66650688849534, 0.39088802141794, 0.40617254080301, 0.65942085921196, 1.0420812401786, 0.88417113566636, 0.53282127326998, 0.83448595279073, 0.70906206713061, 1.0915165581635, 0.93015894672952, 0.91627691169257, 0.60401543155987, 1.0296780241617]",3206.17
RSM2706.cif,"[0.023294496511664, 0.052123176807184, 0.079841925479557, 0.10424776037181, 0.12864937499174, 0.15635546284711, 0.18187122936252, 0.20737855533326, 0.25617334402844, 0.31051357056703, 0.36151978196385, 0.41253443390533, 0.46464213638063, 0.51233543399733, 0.56666299971893, 0.61877492246656, 0.6708868452142, 0.72189305661101, 0.77398809826932, 0.82278288696451, 0.87599630079063, 0.92588414001963, 0.97797918167794, 1.0245456665822]","[0.28596276737882, 0.60915438584218, 0.95207944730729, 1.2522989279153, 1.4621362266965, 1.6958494851189, 1.8978536614657, 2.1256275194498, 2.4130751369261, 2.7114869738656, 2.7977589183713, 3.0667104679755, 3.2177778290019, 3.4134014536935, 3.4266682668093, 3.4960365913651, 3.5751425200273, 3.6625334819683, 3.7961915132395, 3.826372706078, 3.8123849874591, 3.8004954266645, 3.9320553001113, 3.957760423015]","[0.029527998534854, 0.059340938873505, 0.07461023531927, 0.097868440769199, 0.11616529417557, 0.087024368373862, 0.10803575840495, 0.1374320427603, 0.24860190206207, 0.13478872543879, 0.14281452233263, 0.18223233197349, 0.12587702233134, 0.33446382157012, 0.28975535729661, 0.090127060816914, 0.11998854820144, 0.21557193874166, 0.26457593714032, 0.21203234593319, 0.089695187169517, 0.25231998100601, 0.19134651628153, 0.11374062095497]","[-29.846931813458, -30.126527566453, -30.560009229004, -31.399268580646, -31.01728808627, -31.800615266934, -32.141859187016, -32.283624504253, -32.28598313836, -32.894249415912, -32.965829820492, -33.476246372835, -35.718762149443, -35.264961628961, -35.788944734063, -34.533448488023, -34.590224738719, -35.242080683113, -35.563464285417, -36.433668321236, -35.206040590989, -36.720705644658, -36.677758349754, -38.050919740923]","[0.8491935180797, 0.70690482485678, 0.58963113915841, 0.81388247570111, 0.52030628653147, 0.42338860758441, 0.92921222552027, 2.067732924264, 1.6911579739426, 1.2140291752929, 1.835212558097, 2.671098392823, 1.773640817141, 2.55204371721, 2.2346202056987, 1.221234117383, 1.4691779618036, 3.5707157882484, 2.6187239114348, 1.6315482277818, 3.3207437745795, 2.244901050111, 3.7472017160959, 2.9546722705844]",712.579
